id,author,community,alpha,beta
0,a. leszczynski_pers/10,23,1.0,0.50
1,a. v. ozhigin_pers/31,40,1.0,0.50
2,a_key/43,14,1.0,0.50
3,aashish dhungana_pers/20,22,1.0,0.50
4,adam belloum_pers/28,38,1.0,0.50
5,adam bemben_pers/24,2,1.0,0.50
6,adam d. barwell_pers/34,21,1.0,0.50
7,adam padee_pers/37,30,1.0,0.50
8,adam s. z. belloum_pers/28,38,1.0,0.50
9,adianto wibisono_pers/28,38,1.0,0.50
10,adrian f. kacso_pers/18,32,1.0,0.50
11,adrian klusek_pers/33,13,1.0,0.50
12,adrian kosmide_pers/24,2,1.0,0.50
13,adrian ktusek_pers/24,2,1.0,0.50
14,agata kubiczek_pers/8,12,1.0,0.50
15,agnieszka wierzbowska_pers/3,18,1.0,0.50
16,aiyu zhu_pers/37,30,1.0,0.50
17,alejandro f. frangi_pers/21,36,1.0,0.50
18,aleksander byrski_pers/34,21,1.0,0.50
19,aleksander mamla_pers/34,21,1.0,0.50
20,alessia gualandris_pers/35,0,1.0,0.50
21,alexander boukhanovsky_pers/30,42,1.0,0.50
22,alexander kordes_pers/5,29,1.0,0.50
23,alexander l. pyayt_pers/31,40,1.0,0.50
24,alexander quast_pers/21,36,1.0,0.50
25,alexander reinefeld_pers/32,31,1.0,0.50
26,alexander v. boukhanovsky_pers/31,40,1.0,0.50
27,alexandru iosup_pers/32,31,1.0,0.50
28,alfons g. hoekstra_pers/35,0,1.0,0.50
29,alfred geiger_pers/32,31,1.0,0.50
30,alfredo saglimbeni_pers/21,36,1.0,0.50
31,alfredo tirado-ramos_pers/35,0,1.0,0.50
32,allen d. malony_pers/32,31,1.0,0.50
33,andreas hoffmann 0003_pers/21,36,1.0,0.50
34,andreas hofmann_pers/11,10,1.0,0.50
35,andreas hoheisel_pers/32,31,1.0,0.50
36,andreas knüpfer_pers/32,31,1.0,0.50
37,andreas reuter 0001_pers/32,31,1.0,0.50
38,andreas schmidt_pers/24,2,1.0,0.50
39,andrei v. malevsky_pers/29,4,1.0,0.50
40,andrzej broda_pers/1,1,1.0,0.50
41,andrzej czyzewski_pers/36,25,1.0,0.50
42,andrzej eilmes_pers/39,35,1.0,0.50
43,andrzej milenin_pers/36,25,1.0,0.50
44,andrzej olszewski_pers/37,30,1.0,0.50
45,andrzej opalinski_pers/34,21,1.0,0.50
46,andrzej ozieblo_pers/37,30,1.0,0.50
47,andrzej urbanik_pers/33,13,1.0,0.50
48,andrzej zbigniew maksymowicz_pers/37,30,1.0,0.50
49,andrés gómez-tato_pers/24,2,1.0,0.50
